,utt,intent,index
0,what expression would i use to say i love you if i were an italian,translate,0
1,"can you tell me how to say 'i do not speak much spanish', in spanish",translate,0
2,"what is the equivalent of, 'life is good' in french",translate,0
3,"tell me how to say, 'it is a beautiful morning' in italian",translate,0
4,"if i were mongolian, how would i say that i am a tourist",translate,0
5,how do i say 'hotel' in finnish,translate,0
6,"i need you to translate the sentence, 'we will be there soon' into portuguese",translate,0
7,please tell me how to ask for a taxi in french,translate,0
8,"can you tell me how i would say, 'more bread please' in french",translate,0
9,what is the correct way to say 'i am a visitor' in french,translate,0
10,"how would i say, 'i don't know the answer' in spanish",translate,0
11,i would like to know the proper way to greet an adult in portuguese,translate,0
12,what words would i use to tell someone i am lost if i were japanese,translate,0
13,how would i say thank you if i were russian,translate,0
14,can you tell me how i would normally say thank you as a french person,translate,0
15,i would like to know how to say hello in french,translate,0
16,if i were english how would i say subway,translate,0
17,i would i say subway if i were english,translate,0
18,how do you say hi in french,translate,0
19,in england how do they say subway,translate,0
20,translate hello in french,translate,0
21,how is hello said in french,translate,0
22,what do you call a subway if you were english,translate,0
23,how would i say if i were english subway,translate,0
24,how should i say hello in french,translate,0
25,how could i say twin in chinese,translate,0
26,how can i say not now in spanish,translate,0
27,what do spanish people say for the word cow,translate,0
28,translate hello to english,translate,0
29,how do you say goodbye in spanish,translate,0
30,how would i say love in french,translate,0
31,could you translate atm machine into english,translate,0
32,please translate grocery into french for me,translate,0
33,how do germans say goodnight,translate,0
34,tell me how the russians say notebook,translate,0
35,how do vietnameses people say hello,translate,0
36,how do i say thank you in japanese,translate,0
37,what is latin for i love you,translate,0
38,how can i thank somebody in italian,translate,0
39,how do i say you're welcome in chinese,translate,0
40,translate hello english to french,translate,0
41,what is hello in french,translate,0
42,what phrase means goodbye in hawaii,translate,0
43,what spanish word means hello,translate,0
44,translate hello to french,translate,0
45,translate english to french hello,translate,0
46,what is the word for hello spanish,translate,0
47,how do they say goodbye in hawaii,translate,0
48,what's local slang for goodbye in hawaii,translate,0
49,how do you say hello in french,translate,0
50,tell me how to say hello in spanish,translate,0
51,what do i say for goodbye in hawaii,translate,0
52,translate hello into french for me,translate,0
53,how do i say hello in french,translate,0
54,translate for me hello into french,translate,0
55,how would they say say goodbye in hawaii,translate,0
56,what is spanish for hello,translate,0
57,how would i say hello in french,translate,0
58,how can i say i love you in italy,translate,0
59,what is spanish for good morning,translate,0
60,how do you say it's snowing in german,translate,0
61,how would you say can i borrow five dollars in portuguese,translate,0
62,do you know how to say where is the restroom in french,translate,0
63,how would i say pleased to meet you if i were japanese,translate,0
64,can you translate hello into swedish for me,translate,0
65,can you translate i love you into french for me,translate,0
66,can you translate where's the bar into irish for me,translate,0
67,how would i say goodbye if i were norwegian,translate,0
68,how would i say i love you if i were french,translate,0
69,how would i say hello if i were swedish,translate,0
70,can you translate good bye into russian for me,translate,0
71,can you translate i have to go pee into korean for me,translate,0
72,how would i say i'm not guilty if i were mexican,translate,0
73,how do you say thank you in spanish,translate,0
74,how does one say thank you in spanish,translate,0
75,how can i say thank you in spanish,translate,0
76,what is thank you in spanish,translate,0
77,what is the way to say thank you in spanish,translate,0
78,"how do they say ""who is your father"" in german",translate,0
79,"how do they say ""where's the bathroom"" in spanish",translate,0
80,"how do they say ""how's it going"" in swahili",translate,0
81,"how do they say ""i love you"" in japanese",translate,0
82,"how do they say ""what's up"" in chinese",translate,0
83,how do you say thank you in german,translate,0
84,how do you say please in arabic,translate,0
85,how do you say cat in spanish,translate,0
86,how do you say i'm hungry in french,translate,0
87,how do you say i need coffee in dutch,translate,0
88,how do they say yes in brazil,translate,0
89,can you translate cat into russian for me,translate,0
90,can you translate bowl into russian for me,translate,0
91,how do they say hello in france,translate,0
92,i wanna know a phrase in spanish,translate,0
93,can you translate bat into russian for me,translate,0
94,how do they say no in germany,translate,0
95,can you translate hi into spanish for me,translate,0
96,i wanna learn a phrase in russian,translate,0
97,how do they say hello in germany,translate,0
98,can you translate milk into spanish for me,translate,0
99,how do they say hello in brazil,translate,0
100,i need $20000 transferred from my savings to my checking,transfer,1
101,complete a transaction from savings to checking of $20000,transfer,1
102,transfer $20000 from my savings account to checking account,transfer,1
103,take $20000 from savings and put it in checking,transfer,1
104,put $20000 into my checking account from my savings account,transfer,1
105,send 100 dollars between bank of the west and bank of america acccounts,transfer,1
106,send 50 dollars between bank of america and chase accounts,transfer,1
107,send 2000 dollars between chase and rabobank accounts,transfer,1
108,send 1200 dollars between usaa and navy federal accounts,transfer,1
109,send 400 dollars between city bank and usaa accounts,transfer,1
110,take $40 and transfer it to account a from b,transfer,1
111,transfer $40 from account a to b,transfer,1
112,move $40 from account b to account a,transfer,1
113,put $40 from account a to b,transfer,1
114,take $40 from account a and transfer it to account b,transfer,1
115,i need to transfer from this account to that one,transfer,1
116,need to transfer from one account to my other one,transfer,1
117,i would like to transfer from one account to my second one,transfer,1
118,i need to transfer from one account to my second one,transfer,1
119,i have to transfer from one account to my other one,transfer,1
120,send fifty dollars from me to carrie,transfer,1
121,transfer sixty dollars to dad from my biggest accnt,transfer,1
122,send over a hundred dollars from huntington into saving,transfer,1
123,move 57 dollars from saving into mom,transfer,1
124,transfer two hundred dollars between my portfolio and my money market account,transfer,1
125,i need to transfer ten dollars from my bank of america account to my capital one account,transfer,1
126,go ahead and send ten dollars from bank of america to capital one,transfer,1
127,i must transfer ten dollars from my bank of america account to my capital one account,transfer,1
128,i got to transfer ten dollars from my bank of america account to my capital one account,transfer,1
129,i want you to send ten dollars from bank of america to capital one,transfer,1
130,i need you to send ten dollars from bank of america to capital one,transfer,1
131,i have to transfer ten dollars from my bank of america account to my capital one account,transfer,1
132,send ten dollars from bank of america to capital one,transfer,1
133,please send ten dollars from bank of america to capital one,transfer,1
134,make a transfer of $200 from my savings account to my checking account,transfer,1
135,please transfer $250 from checking to savings,transfer,1
136,transfer $500 from my checking to my savings,transfer,1
