,utt,influence,weight,index
0,bring in rewards for my visa card,-106.072608947754,0.9946461138457080,-1
1,how can i factor in rewards on my discover card,-86.70803833007810,0.986221479704648,-1
2,how do calculate the credit limit on my visa card,-41.4167327880859,0.884929679987077,-1
3,can you cancel my reservation for chillis at 8:00,-38.830802917480500,0.871310493179916,-1
4,in what month will my card reach him,-33.647857666015600,0.83987682726362,-1
5,did my vacation get shorter,-27.298120498657200,0.793238521619708,-1
6,am i going to be able to get my vacation back,-23.2232608795166,0.758386262800408,-1
7,i want to know if i can match my credit card points now,-23.1412620544434,0.7576454313603700,-1
8,is there a schedule for my aa meeting on my list,-22.863466262817400,0.755124177176606,-1
9,what are the techniques to make shepherd's pie,-20.5511531829834,0.733458078435272,-1
10,go through all the articles on my list and state what they are,-20.1862487792969,0.729929651360375,-1
11,that is a lie,-18.7699279785156,0.715959214995189,-1
12,what is the approximate date of my wells fargo card,-15.904032707214400,0.686400983755254,-1
13,i want to use the knowledge that my points have earned on my credit card,-15.3548040390015,0.680548752483711,-1
14,what are the necessary visas for travel to africa,-14.8344268798828,0.674950926105395,-1
15,please tell me the procedure to include in my rewards for my citibank card,-13.650404930114700,0.662028109032348,-1
16,add apples to my to do business list,-13.0272979736328,0.655127344253694,-1
17,"is bacon on my shopping list, even if it's not",-9.96128845214844,0.620257027307834,-1
18,what are all of the recipes for brownies from scratch,-9.54079627990723,0.615366748128287,-1
19,examples include feeding the fish on my to do list,-7.29870367050171,0.588918123615368,-1
20,in what month will my card reach zero,-6.9851999282836900,0.585174769808321,-1
21,how best to get a new credit card,-6.36046695709229,0.577686225593985,-1
22,keep playing right now,-6.154888153076170,0.575213986480117,-1
23,can you compare cherrios to my shopping list,-6.14616346359253,0.575108981357568,-1
24,"on my to do list, including cleaning",-5.93221378326416,0.572531912454068,-1
25,i need a calciumion for a dinner recipe,-5.4675588607788100,0.566921648336007,-1
26,do you know if my vacation period is still pending,-5.2787771224975600,0.564637293710008,-1
27,tell me how to use credit scoring points,-4.73723030090332,0.558069382826988,-1
28,can i know your name please,-4.67741298675537,0.557342624492019,-1
29,how much am i paying from my income in london,-4.63750267028809,0.55685759205639,-1
30,i want to know my bill's after payment,-4.34894275665283,0.55334753584685,-1
31,do i need a certain amount of points before i can win them,-4.05712509155273,0.549792436201962,-1
32,add bread to my collection of things to buy,-3.49544739723206,0.542935715179613,-1
33,what is a good chili peppers,-3.39147639274597,0.541664616347225,-1
34,please accept my 7:30 reservation for morton's,-3.12991690635681,0.538464554839494,-1
35,tell me what is on my yahoo list,-3.0907735824585,0.537985374726714,-1
36,examples include laundry on my to do list,-3.06518959999084,0.537672145770723,-1
37,during what month will my card's publication date fall on,-2.91812610626221,0.53587105361767,-1
38,go through all the sites on my list and state what they are,-2.82987260818481,0.534789757231829,-1
39,do i need permission to travel overseas,-2.78730154037476,0.534268051935646,-1
40,what is on my yahoo list,-2.67690801620483,0.532914840926547,-1
41,what's my vacation here,-2.6692943572998,0.532821494115646,-1
42,i have a lot of points saved up from my credit card rewards but don't know how to manage them,-2.66336870193481,0.532748841380946,-1
43,extra payment for my credit card,-2.64930510520935,0.532576406163085,-1
44,what is the excuse i need to pay for my cell phone bill,-2.59378623962402,0.531895607983952,-1
45,i need to know the content of my list of assignments,-2.39777565002441,0.529491101982226,-1
46,how else do i have to pay for my cable bill,-2.20241951942444,0.527093261505886,-1
47,complete payment of my bill please,-2.03345251083374,0.52501831387165,-1
48,what's my bill going to be for my funeral for tennessee,-2.0117962360382100,0.524752306636009,-1
49,can i place my reservation for 4 at red robin,-1.9940128326416,0.52453385994409,-1
50,do they have reservations at bar tartine,-1.98999440670013,0.524484497343817,-1
51,can you imagine how much i can spend on my visa,-1.98905062675476,0.524472903821427,-1
52,how much do i have to pay for my vitamins this month,-1.98663473129272,0.524443226509814,-1
53,what is the essence of altruism,-1.9534171819686900,0.524035158506693,-1
54,the door please,-1.7760591506958,0.521855836412491,-1
55,is there a list of recommended places to get before travelling to kenya,-1.6069084405899,0.519776586772556,-1
56,what is the essence of intelligent,-1.57524299621582,0.51938726762111,-1
57,turn the heat up,-1.56981229782105,0.519320496090057,-1
58,what might pique your interest,-1.5413191318512,0.518970155618587,-1
59,i need to know the bill's after payment,-1.51196837425232,0.518609251044652,-1
60,what is my daily payday,-1.50199317932129,0.51848658900472,-1
61,will my vacation be extended soon,-1.5007449388504,0.518471239601396,-1
62,what could pique your interest,-1.44315242767334,0.517762996729313,-1
63,please turn on the television,-1.42520201206207,0.517542237092031,-1
64,i don't have much so can i order some new ones,-1.4216003417968800,0.517497941834775,-1
65,what are ai's powers,-1.40121507644653,0.517247227832494,-1
66,what's the tripleal value for a pizza lunchable,-1.39217758178711,0.517136074840127,-1
67,did i add to my mental list that i need to take the car in for an oil change,-1.36501288414001,0.516801963517607,-1
68,what's the tripleal info for a loaf of bread,-1.35338997840881,0.516659003357175,-1
69,whats your business,-1.33373498916626,0.516417243469149,-1
70,is my credit card his date approaching,-1.2960798740387,0.515954057440594,-1
71,i need a suggestion for a cake recipe,-1.2888969182968100,0.515865698584761,-1
72,set a callerer for me to call my brother at 8 pm,-1.27581572532654,0.515704781886819,-1
73,what's he usually like around 5pm going to the bank,-1.2546856403350800,0.515444845862263,-1
74,i need to report a card that's been dropped but i dont know how,-1.14435577392578,0.514087468116513,-1
75,can i turn on the lamp now,-0.973327159881592,0.511982915943484,-1
76,i need you to control your volume,-0.965668141841888,0.511888659212017,-1
77,what are the best questions,-0.953527390956879,0.511739245705302,-1
78,will they have reservations at chillis,-0.945084273815155,0.511635336912054,-1
79,"if i'm heading to the mall at 5:00, what will the night be like",-0.943614900112152,0.511617253339929,-1
80,i need to order new clothing,-0.885635256767273,0.51090367447628,-1
81,can i turn on the television now,-0.874687194824219,0.510768927184509,-1
82,please reset your factory clock,-0.855466783046722,0.510532361136531,-1
83,how can i claim rewards earned through my amex card,-0.843638300895691,0.510386773075783,-1
84,turn down your television,-0.803659081459045,0.509894685459575,-1
85,remind me of the date of my last birthday,-0.7430220246315,0.509148292812309,-1
86,please wait for car meet,-0.714339315891266,0.508795217679311,-1
87,"ai, what's your emergency",-0.700158178806305,0.508620649073824,-1
88,how old is my gas bill,-0.696081876754761,0.508570469747342,-1
89,i'd like to turn up the heat,-0.68590384721756,0.508445177331608,-1
90,"ai, ai!",-0.68120688199997,0.508387356928595,-1
91,what kind of supplies do i need to use for my car,-0.674856901168823,0.508309187279042,-1
92,tell me the first payment of my bill,-0.637141823768616,0.507844898203694,-1
93,my card did not work correctly,-0.634016811847687,0.50780642732399,-1
94,do i need permission to travel there,-0.6035174727439880,0.507430956321996,-1
95,what's on the menu list,-0.596130311489105,0.507340013243466,-1
96,"can you order me more tea, please",-0.580981612205505,0.5071535166344480,-1
97,what did i list in my notes,-0.563179671764374,0.506934353262684,-1
98,i should text ruthie,-0.5272076129913330,0.506491485758602,-1
99,what kinds of things do you do for him,-0.5057280063629150,0.506227036170681,-1
100,how much is my water worth for,-0.504424810409546,0.506210991553151,-1
101,"order new fruit, please",-0.4993856549263,0.506148950630848,-1
102,i would like to know tomorrow's events,-0.481819748878479,0.505932681770984,-1
103,how much is my gas mask,-0.47501266002655,0.50584887328972,-1
104,how high in fat is pork,-0.466810196638107,0.505747884602228,-1
105,tell me something important about cats,-0.46397042274475100,0.505712921210787,-1
106,read my daily balances,-0.443742364645004,0.505463871084481,-1
107,i want to check the reservation for mercury at the ritz,-0.443453013896942,0.505460308545563,-1
108,my new debit card is late and i need to report it,-0.432978838682175,0.505331348229132,-1
109,cash for a bank of america travel rewards credit card,-0.427465885877609,0.505263471272748,-1
110,ai please no,-0.40367379784584,0.504970534497622,-1
111,can i borrow butter for margarine,-0.400484591722488,0.504931267576957,-1
112,"ai, show me online options to order more stuff for my usbank account",-0.400074869394302,0.504926222889462,-1
113,since we're out of commission i want help purchasing new ones,-0.392586827278137,0.504834026536487,-1
114,what's on the paper list,-0.385151267051697,0.504742476040299,-1
115,how much is my groceries and gas supplies,-0.37441474199295,0.504610281783651,-1
116,can you find the exact amount i pay income claim,-0.36909127235412600,0.504544735930907,-1
117,stop that please,-0.367919236421585,0.504530305078104,-1
118,the credit crunch on my account is how much,-0.36683905124664300,0.504517005143637,-1
119,set a guard to take out the trash,-0.36382383108139,0.504479879780315,-1
120,"if i ate a cookie, how many vitamins would i be ingesting",-0.356496512889862,0.504389660839911,-1
